Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;22.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;18.10.2019;1.111,00;0,00;1.111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
19.10.2019 - 31.12.2019;1.111,00;74;6.3%;14,19;14,19;1.125,19
01.01.2020 - 17.04.2020;1.111,00;108;6.11%;20,03;34,22;1.145,22
18.04.2020 - 18.10.2020;1.111,00;184;0.0%;0,00;34,22;1.145,22
19.10.2020 - 31.12.2020;1.111,00;74;5.89%;13,23;47,45;1.158,45
01.01.2021 - 30.06.2021;1.111,00;181;5.75%;31,68;79,13;1.190,13
01.07.2021 - 31.12.2021;1.111,00;184;5.61%;31,42;110,55;1.221,55
01.01.2022 - 30.06.2022;1.111,00;181;5.49%;30,25;140,80;1.251,80
01.07.2022 - 13.10.2022;1.111,00;105;5.31%;16,97;157,77;1.268,77
Uplata;;;13.10.2022;-222,00;0,00;1.046,77
14.10.2022 - 31.12.2022;1.046,77;79;5.31%;12,03;12,03;1.058,80
01.01.2023 - 30.06.2023;1.046,77;181;5.5%;28,55;40,58;1.087,35
01.07.2023 - 31.12.2023;1.046,77;184;7.0%;36,94;77,52;1.124,29
01.01.2024 - 30.06.2024;1.046,77;182;7.5%;39,04;116,56;1.163,32
01.07.2024 - 31.12.2024;1.046,77;184;7.25%;38,15;154,71;1.201,48
01.01.2025 - 30.06.2025;1.046,77;181;6.15%;31,92;186,63;1.233,40
01.07.2025 - 22.10.2025;1.046,77;114;5.15%;16,84;203,47;1.250,24

Rekapitulacija
Glavnica (1);1.111,00
Kamate;203,47
Uplate (1);-222,00
Ukupni dug;1.250,24
