Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;18.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;01.10.2020;123,00;0,00;123,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
02.10.2020 - 31.12.2020;123,00;91;5.89%;1,80;1,80;124,80
01.01.2021 - 30.06.2021;123,00;181;5.75%;3,51;5,31;128,31
01.07.2021 - 31.12.2021;123,00;184;5.61%;3,48;8,79;131,79
01.01.2022 - 30.06.2022;123,00;181;5.49%;3,35;12,14;135,14
01.07.2022 - 31.12.2022;123,00;184;5.31%;3,29;15,43;138,43
01.01.2023 - 30.06.2023;123,00;181;5.5%;3,35;18,78;141,78
01.07.2023 - 31.12.2023;123,00;184;7.0%;4,34;23,12;146,12
01.01.2024 - 30.06.2024;123,00;182;7.5%;4,59;27,71;150,71
01.07.2024 - 31.12.2024;123,00;184;7.25%;4,48;32,19;155,19
01.01.2025 - 30.06.2025;123,00;181;6.15%;3,75;35,94;158,94

Rekapitulacija
Glavnica (1);123,00
Kamate;35,94
Uplate (0);0,00
Ukupni dug;158,94
