Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;01.10.2017;111,00;0,00;111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
02.10.2017 - 31.12.2017;111,00;91;7.41%;2,05;2,05;113,05
01.01.2018 - 30.06.2018;111,00;181;7.09%;3,90;5,95;116,95
01.07.2018 - 31.12.2018;111,00;184;6.82%;3,82;9,77;120,77
01.01.2019 - 30.06.2019;111,00;181;6.54%;3,60;13,37;124,37
01.07.2019 - 31.12.2019;111,00;184;6.3%;3,53;16,89;127,89
01.01.2020 - 17.04.2020;111,00;108;6.11%;2,00;18,90;129,90
18.04.2020 - 18.10.2020;111,00;184;0.0%;0,00;18,90;129,90
19.10.2020 - 31.12.2020;111,00;74;5.89%;1,32;20,22;131,22
01.01.2021 - 30.06.2021;111,00;181;5.75%;3,17;23,38;134,38
01.07.2021 - 31.12.2021;111,00;184;5.61%;3,14;26,52;137,52
01.01.2022 - 30.06.2022;111,00;181;5.49%;3,02;29,54;140,54
01.07.2022 - 31.12.2022;111,00;184;5.31%;2,97;32,52;143,52
01.01.2023 - 30.06.2023;111,00;181;5.5%;3,03;35,54;146,54
01.07.2023 - 04.10.2023;111,00;96;7.0%;2,04;37,59;148,59
Uplata;;;04.10.2023;-222,00;0,00;-73,41
Preplata;;;04.10.2023;;;-73,41

Rekapitulacija
Glavnica (1);111,00
Kamate;0,00
Uplate (1);-222,00
Ukupni dug;-73,41
Preplate (1);-73,41
