Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;04.10.2018;1.111,00;0,00;1.111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
05.10.2018 - 31.12.2018;1.111,00;88;6.82%;18,27;18,27;1.129,27
01.01.2019 - 30.06.2019;1.111,00;181;6.54%;36,03;54,30;1.165,30
01.07.2019 - 31.12.2019;1.111,00;184;6.3%;35,28;89,58;1.200,58
01.01.2020 - 17.04.2020;1.111,00;108;6.11%;20,03;109,61;1.220,61
18.04.2020 - 18.10.2020;1.111,00;184;0.0%;0,00;109,61;1.220,61
19.10.2020 - 31.12.2020;1.111,00;74;5.89%;13,23;122,84;1.233,84
01.01.2021 - 30.06.2021;1.111,00;181;5.75%;31,68;154,52;1.265,52
01.07.2021 - 31.12.2021;1.111,00;184;5.61%;31,42;185,94;1.296,94
01.01.2022 - 30.06.2022;1.111,00;181;5.49%;30,25;216,19;1.327,19
01.07.2022 - 31.12.2022;1.111,00;184;5.31%;29,74;245,93;1.356,93
01.01.2023 - 30.06.2023;1.111,00;181;5.5%;30,30;276,23;1.387,23
01.07.2023 - 31.12.2023;1.111,00;184;7.0%;39,20;315,43;1.426,43
01.01.2024 - 30.06.2024;1.111,00;182;7.5%;41,43;356,87;1.467,87
01.07.2024 - 31.12.2024;1.111,00;184;7.25%;40,49;397,36;1.508,36
01.01.2025 - 30.06.2025;1.111,00;181;6.15%;33,88;431,25;1.542,25
01.07.2025 - 05.10.2025;1.111,00;97;5.15%;15,21;446,45;1.557,45

Rekapitulacija
Glavnica (1);1.111,00
Kamate;446,45
Uplate (0);0,00
Ukupni dug;1.557,45
