Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2028;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;10.10.2019;1.111,00;0,00;1.111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
11.10.2019 - 31.12.2019;1.111,00;82;6.3%;15,72;15,72;1.126,72
01.01.2020 - 17.04.2020;1.111,00;108;6.11%;20,03;35,76;1.146,76
18.04.2020 - 18.10.2020;1.111,00;184;0.0%;0,00;35,76;1.146,76
19.10.2020 - 31.12.2020;1.111,00;74;5.89%;13,23;48,99;1.159,99
01.01.2021 - 30.06.2021;1.111,00;181;5.75%;31,68;80,66;1.191,66
01.07.2021 - 31.12.2021;1.111,00;184;5.61%;31,42;112,08;1.223,08
01.01.2022 - 30.06.2022;1.111,00;181;5.49%;30,25;142,33;1.253,33
01.07.2022 - 31.12.2022;1.111,00;184;5.31%;29,74;172,07;1.283,07
01.01.2023 - 30.06.2023;1.111,00;181;5.5%;30,30;202,37;1.313,37
01.07.2023 - 31.12.2023;1.111,00;184;7.0%;39,20;241,58;1.352,58
01.01.2024 - 30.06.2024;1.111,00;182;7.5%;41,43;283,01;1.394,01
01.07.2024 - 31.12.2024;1.111,00;184;7.25%;40,49;323,50;1.434,50
01.01.2025 - 30.06.2025;1.111,00;181;6.15%;33,88;357,39;1.468,39
01.07.2025 - 31.12.2025;1.111,00;184;5.15%;28,84;386,23;1.497,23
01.01.2026 - 30.06.2026;1.111,00;181;1.11%;6,12;392,35;1.503,35
01.07.2026 - 05.10.2028;1.111,00;828;1.11%;27,95;420,30;1.531,30

Rekapitulacija
Glavnica (1);1.111,00
Kamate;420,30
Uplate (0);0,00
Ukupni dug;1.531,30
