Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;03.10.2019;111,00;0,00;111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
04.10.2019 - 31.12.2019;111,00;89;6.3%;1,71;1,71;112,71
01.01.2020 - 17.04.2020;111,00;108;6.11%;2,00;3,71;114,71
18.04.2020 - 18.10.2020;111,00;184;0.0%;0,00;3,71;114,71
19.10.2020 - 31.12.2020;111,00;74;5.89%;1,32;5,03;116,03
01.01.2021 - 30.06.2021;111,00;181;5.75%;3,17;8,19;119,19
01.07.2021 - 07.10.2021;111,00;99;5.61%;1,69;9,88;120,88
Uplata;;;07.10.2021;-22,00;0,00;98,88
08.10.2021 - 31.12.2021;98,88;85;5.61%;1,29;1,29;100,17
01.01.2022 - 30.06.2022;98,88;181;5.49%;2,69;3,98;102,87
01.07.2022 - 31.12.2022;98,88;184;5.31%;2,65;6,63;105,51
01.01.2023 - 30.06.2023;98,88;181;5.5%;2,70;9,33;108,21
01.07.2023 - 31.12.2023;98,88;184;7.0%;3,49;12,82;111,70
01.01.2024 - 30.06.2024;98,88;182;7.5%;3,69;16,50;115,39
01.07.2024 - 31.12.2024;98,88;184;7.25%;3,60;20,11;118,99
01.01.2025 - 30.06.2025;98,88;181;6.15%;3,02;23,12;122,01
01.07.2025 - 05.10.2025;98,88;97;5.15%;1,35;24,48;123,36

Rekapitulacija
Glavnica (1);111,00
Kamate;24,48
Uplate (1);-22,00
Ukupni dug;123,36
