Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;01.10.2004;111,00;0,00;111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
02.10.2004 - 31.12.2007;111,00;1186;15.0%;54,09;54,09;165,09
01.01.2008 - 30.06.2011;111,00;1277;14.0%;54,33;108,42;219,42
01.07.2011 - 31.07.2015;111,00;1492;12.0%;54,41;162,83;273,83
01.08.2015 - 31.12.2015;111,00;153;8.14%;3,79;166,61;277,61
01.01.2016 - 30.06.2016;111,00;182;8.05%;4,44;171,06;282,06
01.07.2016 - 31.12.2016;111,00;184;7.88%;4,40;175,46;286,46
01.01.2017 - 30.06.2017;111,00;181;7.68%;4,23;179,68;290,68
01.07.2017 - 31.12.2017;111,00;184;7.41%;4,15;183,83;294,83
01.01.2018 - 30.06.2018;111,00;181;7.09%;3,90;187,73;298,73
01.07.2018 - 31.12.2018;111,00;184;6.82%;3,82;191,55;302,55
01.01.2019 - 30.06.2019;111,00;181;6.54%;3,60;195,15;306,15
01.07.2019 - 31.12.2019;111,00;184;6.3%;3,53;198,67;309,67
01.01.2020 - 30.06.2020;111,00;182;6.11%;3,37;202,05;313,05
01.07.2020 - 31.12.2020;111,00;184;5.89%;3,29;205,33;316,33
01.01.2021 - 30.06.2021;111,00;181;5.75%;3,17;208,50;319,50
01.07.2021 - 31.12.2021;111,00;184;5.61%;3,14;211,64;322,64
01.01.2022 - 30.06.2022;111,00;181;5.49%;3,02;214,66;325,66
01.07.2022 - 31.12.2022;111,00;184;5.31%;2,97;217,63;328,63
01.01.2023 - 30.06.2023;111,00;181;5.5%;3,03;220,66;331,66
01.07.2023 - 31.12.2023;111,00;184;7.0%;3,92;224,57;335,57
01.01.2024 - 30.06.2024;111,00;182;7.5%;4,14;228,71;339,71
01.07.2024 - 31.12.2024;111,00;184;7.25%;4,05;232,76;343,76
01.01.2025 - 30.06.2025;111,00;181;6.15%;3,39;236,14;347,14
01.07.2025 - 05.10.2025;111,00;97;6.15%;1,81;237,96;348,96

Rekapitulacija
Glavnica (1);111,00
Kamate;237,96
Uplate (0);0,00
Ukupni dug;348,96
