Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;30.09.2021;111,00;0,00;111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
01.10.2021 - 31.12.2021;111,00;92;5.61%;1,57;1,57;112,57
01.01.2022 - 30.06.2022;111,00;181;5.49%;3,02;4,59;115,59
01.07.2022 - 06.10.2022;111,00;98;5.31%;1,58;6,17;117,17
Uplata;;;06.10.2022;-22,00;0,00;95,17
07.10.2022 - 31.12.2022;95,17;86;5.31%;1,19;1,19;96,36
01.01.2023 - 30.06.2023;95,17;181;5.5%;2,60;3,79;98,96
01.07.2023 - 31.12.2023;95,17;184;7.0%;3,36;7,14;102,32
01.01.2024 - 30.06.2024;95,17;182;7.5%;3,55;10,69;105,87
01.07.2024 - 31.12.2024;95,17;184;7.25%;3,47;14,16;109,34
01.01.2025 - 30.06.2025;95,17;181;6.15%;2,90;17,07;112,24
01.07.2025 - 05.10.2025;95,17;97;5.15%;1,30;18,37;113,54

Rekapitulacija
Glavnica (1);111,00
Kamate;18,37
Uplate (1);-22,00
Ukupni dug;113,54
