Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;03.10.2019;111,00;0,00;111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
04.10.2019 - 31.12.2019;111,00;89;6.3%;1,71;1,71;112,71
01.01.2020 - 30.06.2020;111,00;182;6.11%;3,37;5,08;116,08
01.07.2020 - 31.12.2020;111,00;184;5.89%;3,29;8,36;119,36
01.01.2021 - 30.06.2021;111,00;181;5.75%;3,17;11,53;122,53
01.07.2021 - 31.12.2021;111,00;184;5.61%;3,14;14,67;125,67
01.01.2022 - 30.06.2022;111,00;181;5.49%;3,02;17,69;128,69
01.07.2022 - 31.12.2022;111,00;184;5.31%;2,97;20,66;131,66
01.01.2023 - 30.06.2023;111,00;181;5.5%;3,03;23,69;134,69
01.07.2023 - 31.12.2023;111,00;184;7.0%;3,92;27,61;138,61
01.01.2024 - 30.06.2024;111,00;182;7.5%;4,14;31,75;142,75
01.07.2024 - 31.12.2024;111,00;184;7.25%;4,05;35,79;146,79
01.01.2025 - 30.06.2025;111,00;181;6.15%;3,39;39,18;150,18
01.07.2025 - 05.10.2025;111,00;97;5.15%;1,52;40,70;151,70

Rekapitulacija
Glavnica (1);111,00
Kamate;40,70
Uplate (0);0,00
Ukupni dug;151,70
