Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;04.10.2019;111,00;0,00;111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
05.10.2019 - 31.12.2019;111,00;88;6.3%;1,69;1,69;112,69
01.01.2020 - 17.04.2020;111,00;108;6.11%;2,00;3,69;114,69
18.04.2020 - 18.10.2020;111,00;184;0.0%;0,00;3,69;114,69
19.10.2020 - 31.12.2020;111,00;74;5.89%;1,32;5,01;116,01
01.01.2021 - 30.06.2021;111,00;181;5.75%;3,17;8,17;119,17
01.07.2021 - 31.12.2021;111,00;184;5.61%;3,14;11,31;122,31
01.01.2022 - 30.06.2022;111,00;181;5.49%;3,02;14,34;125,34
01.07.2022 - 31.12.2022;111,00;184;5.31%;2,97;17,31;128,31
01.01.2023 - 30.06.2023;111,00;181;5.5%;3,03;20,33;131,33
01.07.2023 - 31.12.2023;111,00;184;7.0%;3,92;24,25;135,25
01.01.2024 - 30.06.2024;111,00;182;7.5%;4,14;28,39;139,39
01.07.2024 - 31.12.2024;111,00;184;7.25%;4,05;32,44;143,44
01.01.2025 - 30.06.2025;111,00;181;6.15%;3,39;35,82;146,82
01.07.2025 - 05.10.2025;111,00;97;5.15%;1,52;37,34;148,34

Rekapitulacija
Glavnica (1);111,00
Kamate;37,34
Uplate (0);0,00
Ukupni dug;148,34
