Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;01.10.2013;111,00;0,00;111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
02.10.2013 - 31.07.2015;111,00;668;12.0%;24,38;24,38;135,38
01.08.2015 - 31.12.2015;111,00;153;8.14%;3,79;28,16;139,16
01.01.2016 - 30.06.2016;111,00;182;8.05%;4,44;32,61;143,61
01.07.2016 - 31.12.2016;111,00;184;7.88%;4,40;37,01;148,01
01.01.2017 - 30.06.2017;111,00;181;7.68%;4,23;41,23;152,23
01.07.2017 - 31.12.2017;111,00;184;7.41%;4,15;45,38;156,38
01.01.2018 - 30.06.2018;111,00;181;7.09%;3,90;49,28;160,28
01.07.2018 - 31.12.2018;111,00;184;6.82%;3,82;53,10;164,10
01.01.2019 - 30.06.2019;111,00;181;6.54%;3,60;56,70;167,70
01.07.2019 - 31.12.2019;111,00;184;6.3%;3,53;60,22;171,22
01.01.2020 - 30.06.2020;111,00;182;6.11%;3,37;63,60;174,60
01.07.2020 - 31.12.2020;111,00;184;5.89%;3,29;66,88;177,88
01.01.2021 - 30.06.2021;111,00;181;5.75%;3,17;70,05;181,05
01.07.2021 - 31.12.2021;111,00;184;5.61%;3,14;73,19;184,19
01.01.2022 - 30.06.2022;111,00;181;5.49%;3,02;76,21;187,21
01.07.2022 - 31.12.2022;111,00;184;5.31%;2,97;79,18;190,18
01.01.2023 - 30.06.2023;111,00;181;5.5%;3,03;82,21;193,21
01.07.2023 - 31.12.2023;111,00;184;7.0%;3,92;86,12;197,12
01.01.2024 - 30.06.2024;111,00;182;7.5%;4,14;90,26;201,26
01.07.2024 - 31.12.2024;111,00;184;7.25%;4,05;94,31;205,31
01.01.2025 - 30.06.2025;111,00;181;6.15%;3,39;97,69;208,69

Rekapitulacija
Glavnica (1);111,00
Kamate;97,69
Uplate (0);0,00
Ukupni dug;208,69
