Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;07.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;01.10.2019;111,00;0,00;111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
02.10.2019 - 31.12.2019;111,00;91;6.3%;1,74;1,74;112,74
01.01.2020 - 30.06.2020;111,00;182;6.11%;3,37;5,12;116,12
01.07.2020 - 31.12.2020;111,00;184;5.89%;3,29;8,40;119,40
01.01.2021 - 30.06.2021;111,00;181;5.75%;3,17;11,57;122,57
01.07.2021 - 29.09.2021;111,00;91;5.61%;1,55;13,12;124,12
Uplata;;;29.09.2021;-22,00;0,00;102,12
30.09.2021 - 31.12.2021;102,12;93;5.61%;1,46;1,46;103,58
01.01.2022 - 30.06.2022;102,12;181;5.49%;2,78;4,24;106,36
01.07.2022 - 31.12.2022;102,12;184;5.31%;2,73;6,97;109,09
01.01.2023 - 30.06.2023;102,12;181;5.5%;2,79;9,76;111,88
01.07.2023 - 31.12.2023;102,12;184;7.0%;3,60;13,36;115,48
01.01.2024 - 30.06.2024;102,12;182;7.5%;3,81;17,17;119,29
01.07.2024 - 31.12.2024;102,12;184;7.25%;3,72;20,89;123,01
01.01.2025 - 30.06.2025;102,12;181;6.15%;3,11;24,01;126,13
01.07.2025 - 07.10.2025;102,12;99;5.15%;1,43;25,43;127,55

Rekapitulacija
Glavnica (1);111,00
Kamate;25,43
Uplate (1);-22,00
Ukupni dug;127,55
