Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;10.10.2019;1.111,00;0,00;1.111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
11.10.2019 - 31.12.2019;1.111,00;82;6.3%;15,72;15,72;1.126,72
01.01.2020 - 17.04.2020;1.111,00;108;6.11%;20,03;35,76;1.146,76
18.04.2020 - 18.10.2020;1.111,00;184;0.0%;0,00;35,76;1.146,76
19.10.2020 - 31.12.2020;1.111,00;74;5.89%;13,23;48,99;1.159,99
01.01.2021 - 30.06.2021;1.111,00;181;5.75%;31,68;80,66;1.191,66
01.07.2021 - 31.12.2021;1.111,00;184;5.61%;31,42;112,08;1.223,08
01.01.2022 - 30.06.2022;1.111,00;181;5.49%;30,25;142,33;1.253,33
01.07.2022 - 05.10.2022;1.111,00;97;5.31%;15,68;158,01;1.269,01
Uplata;;;05.10.2022;-222,00;0,00;1.047,01
06.10.2022 - 31.12.2022;1.047,01;87;5.31%;13,25;13,25;1.060,26
01.01.2023 - 30.06.2023;1.047,01;181;5.5%;28,56;41,81;1.088,82
01.07.2023 - 31.12.2023;1.047,01;184;7.0%;36,95;78,75;1.125,76
01.01.2024 - 30.06.2024;1.047,01;182;7.5%;39,05;117,80;1.164,81
01.07.2024 - 31.12.2024;1.047,01;184;7.25%;38,16;155,96;1.202,97
01.01.2025 - 30.06.2025;1.047,01;181;6.15%;31,93;187,89;1.234,90
01.07.2025 - 05.10.2025;1.047,01;97;5.15%;14,33;202,22;1.249,23

Rekapitulacija
Glavnica (1);1.111,00
Kamate;202,22
Uplate (1);-222,00
Ukupni dug;1.249,23
