Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;14.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;04.10.2019;1.000,00;0,00;1.000,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
05.10.2019 - 31.12.2019;1.000,00;88;6.3%;15,19;15,19;1.015,19
01.01.2020 - 17.04.2020;1.000,00;108;6.11%;18,03;33,22;1.033,22
18.04.2020 - 18.10.2020;1.000,00;184;0.0%;0,00;33,22;1.033,22
19.10.2020 - 31.12.2020;1.000,00;74;5.89%;11,91;45,13;1.045,13
01.01.2021 - 30.06.2021;1.000,00;181;5.75%;28,51;73,64;1.073,64
01.07.2021 - 31.12.2021;1.000,00;184;5.61%;28,28;101,92;1.101,92
01.01.2022 - 30.06.2022;1.000,00;181;5.49%;27,22;129,15;1.129,15
01.07.2022 - 31.12.2022;1.000,00;184;5.31%;26,77;155,91;1.155,91
01.01.2023 - 30.06.2023;1.000,00;181;5.5%;27,27;183,19;1.183,19
01.07.2023 - 31.12.2023;1.000,00;184;7.0%;35,29;218,48;1.218,48
01.01.2024 - 30.06.2024;1.000,00;182;7.5%;37,30;255,77;1.255,77
01.07.2024 - 31.12.2024;1.000,00;184;7.25%;36,45;292,22;1.292,22
01.01.2025 - 30.06.2025;1.000,00;181;6.15%;30,50;322,72;1.322,72
01.07.2025 - 14.10.2025;1.000,00;106;5.15%;14,96;337,67;1.337,67

Rekapitulacija
Glavnica (1);1.000,00
Kamate;337,67
Uplate (0);0,00
Ukupni dug;1.337,67
