Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;05.10.2025;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;18.10.2019;1.000,00;0,00;1.000,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
19.10.2019 - 31.12.2019;1.000,00;74;6.3%;12,77;12,77;1.012,77
01.01.2020 - 17.04.2020;1.000,00;108;6.11%;18,03;30,80;1.030,80
18.04.2020 - 18.10.2020;1.000,00;184;0.0%;0,00;30,80;1.030,80
19.10.2020 - 31.12.2020;1.000,00;74;5.89%;11,91;42,71;1.042,71
01.01.2021 - 30.06.2021;1.000,00;181;5.75%;28,51;71,22;1.071,22
01.07.2021 - 31.12.2021;1.000,00;184;5.61%;28,28;99,51;1.099,51
01.01.2022 - 30.06.2022;1.000,00;181;5.49%;27,22;126,73;1.126,73
01.07.2022 - 31.12.2022;1.000,00;184;5.31%;26,77;153,50;1.153,50
01.01.2023 - 30.06.2023;1.000,00;181;5.5%;27,27;180,77;1.180,77
01.07.2023 - 31.12.2023;1.000,00;184;7.0%;35,29;216,06;1.216,06
01.01.2024 - 30.06.2024;1.000,00;182;7.5%;37,30;253,35;1.253,35
01.07.2024 - 31.12.2024;1.000,00;184;7.25%;36,45;289,80;1.289,80
01.01.2025 - 30.06.2025;1.000,00;181;6.15%;30,50;320,30;1.320,30
01.07.2025 - 05.10.2025;1.000,00;97;5.15%;13,69;333,99;1.333,99

Rekapitulacija
Glavnica (1);1.000,00
Kamate;333,99
Uplate (0);0,00
Ukupni dug;1.333,99
