Naziv izračuna;Opis izračuna;Vrsta izračuna;Datum izračuna;Valuta;Vjerovnik;Dužnik
Izračun;;Obračun zateznih kamata za fizičku osobu;15.10.2026;EUR;;

Stavka / Opis;;;Datum;Iznos;Dug po kamati;Ukupni dug
Račun 123;;;03.10.2019;1.111,00;0,00;1.111,00
Period obračuna;Osnovica;Br. dana;K. stopa;Kta razdoblja;Kta kumulativno;Dug kumulativno
04.10.2019 - 31.12.2019;1.111,00;89;6.3%;17,07;17,07;1.128,07
01.01.2020 - 17.04.2020;1.111,00;108;6.11%;20,03;37,10;1.148,10
18.04.2020 - 18.10.2020;1.111,00;184;0.0%;0,00;37,10;1.148,10
19.10.2020 - 31.12.2020;1.111,00;74;5.89%;13,23;50,33;1.161,33
01.01.2021 - 30.06.2021;1.111,00;181;5.75%;31,68;82,01;1.193,01
01.07.2021 - 31.12.2021;1.111,00;184;5.61%;31,42;113,43;1.224,43
01.01.2022 - 30.06.2022;1.111,00;181;5.49%;30,25;143,67;1.254,67
01.07.2022 - 31.12.2022;1.111,00;184;5.31%;29,74;173,41;1.284,41
01.01.2023 - 30.06.2023;1.111,00;181;5.5%;30,30;203,71;1.314,71
01.07.2023 - 31.12.2023;1.111,00;184;7.0%;39,20;242,92;1.353,92
01.01.2024 - 30.06.2024;1.111,00;182;7.5%;41,43;284,35;1.395,35
01.07.2024 - 31.12.2024;1.111,00;184;7.25%;40,49;324,85;1.435,85
01.01.2025 - 30.06.2025;1.111,00;181;6.15%;33,88;358,73;1.469,73
01.07.2025 - 31.12.2025;1.111,00;184;5.15%;28,84;387,57;1.498,57
01.01.2026 - 15.10.2026;1.111,00;288;5.15%;45,15;432,72;1.543,72

Rekapitulacija
Glavnica (1);1.111,00
Kamate;432,72
Uplate (0);0,00
Ukupni dug;1.543,72
